通道周期,ATR周期,ATR止损倍数,累计回报,买入持有收益,最大回撤,夏普比率,交易次数,止损次数,买入次数,卖出次数,年化收益率,年化波动率
10,10,2,-0.09681220509372657,-0.04232666839782173,-0.18316653576707753,-0.5171659920900711,8,0,8,7,-0.06752956417975897,0.12092250775914866
20,20,2,-0.06746071120422614,-0.04232666839782173,-0.15662135593915472,-0.3161861914299723,5,2,5,3,-0.046826442494379616,0.12624556273655235
30,30,2,-0.13186579351206718,-0.04232666839782173,-0.19091099269301548,-0.795869195091168,4,3,4,1,-0.09253315759856684,0.11374940678077919
